date,headline,snippet,link
19820101,"Milwaukee Officers Face Trial on Beating Charge","  Three police officers have been ordered to stand trial on charges that they beat a man on a South Side street Oct. 8.   James Schoemperlen, a 33-year-old accountant from South Milwaukee, asserts that he was beaten by the officers after they pursued...","http://www.nytimes.com/1982/01/01/us/around-the-nation-milwaukee-officers-face-trial-on-beating-charge.html"
19820201,"Craig Parker Dies at Age 55; Popular Vermont Announcer","  Craig (Rusty) Parker, for decades one of Vermont's most popular radio personalities, died today, two days after suffering a heart attack while broadcasting a news report.","http://www.nytimes.com/1982/02/01/us/craig-parker-dies-at-age-55-popular-vermont-announcer.html"
19820301,"BRIEFING","  Disclosure Studied   I n an unusual move, the Senate itself is quietly investigating the source of a New York Times article last January in which details of a closed session of the Senate Foreign Relations Committee were divulged. Senate sources...","http://www.nytimes.com/1982/03/01/us/briefing-255657.html"
19820401,"Briefing","  A Voice From the Past   T he voice of Buffalo Bill, sounding more like the product of elocution lessons than the American frontier, echoes from out of the last century, but his message has a disturbingly current quality. If the Government heeds...","http://www.nytimes.com/1982/04/01/us/briefing-035482.html"
19820501,"NEW FOSSIL SHOWS THE AGILITY OF AN ANCIENT HOOFED ANIMAL","  New evidence indicates an ancient ancestor of such hoofed mammals as cattle, sheep, deer and camels was far more agile and sophisticated than scientists had thought.   The first nearly complete skeleton of the oldest member of this mammalian order...","http://www.nytimes.com/1982/05/02/us/new-fossil-shows-the-agility-of-an-ancient-hoofed-animal.html"
19820601,"KEY LAWYER FOR PROSECTUTION: ROGER MARK ADELMAN","  Roger M. Adelman, the assistant United States Attorney managing the Government's case against John W. Hinckley Jr., is a man who likes to be in total control. He holds his cards so tightly, in fact, that he will not even disclose the name of his...","http://www.nytimes.com/1982/06/02/us/man-in-the-news-key-lawyer-for-prosectution-roger-mark-adelman.html"
19820701,"Judge Denies a Motion To Stay Haitians' Parole","  A Federal district judge today refused to stay the order he issued Tuesday to free 1,900 detained Haitian refugees.   The Government, seeking to block a large-scale release of the Haitians and to avoid what it said would be a new influx of aliens,...","http://www.nytimes.com/1982/07/01/us/around-the-nation-judge-denies-a-motion-to-stay-haitians-parole.html"
19820801,"Hispanic Week Declared","  President Reagan on Friday declared the week of Sept. 12 as National Hispanic Heritage Week.","http://www.nytimes.com/1982/08/01/us/hispanic-week-declared.html"
19820901,"SAFETY UNIT STRESSES ALCOHOL HAZARD","  The National Transportation Safety Board is best known for the grisly work it does sifting through the remains of airliners for clues to crashes.   But recently the board and its members have begun speaking out on a variety of safety hazards in...","http://www.nytimes.com/1982/09/02/us/safety-unit-stresses-alcohol-hazard.html"
19821001,"PRESIDENT'S NEWS CONFERENCE","  Following is a transcript of President Reagan's impromptu news conference in the White House briefing room yesterday, as recorded by The New York Times through the facilities of Cable Network News: OPENING STATEMENT   Stonewalling by the Democratic...","http://www.nytimes.com/1982/10/02/us/president-s-news-conference.html"
19821101,"FOR KEVIN, A WAY OF LIFE, AND DEATH","  In the end, they covered Kevin P. Mulcahy's coffin with an American flag. One of his relatives said it was the right thing to do.   They hadn't always thought of him that way, the men and women of the Central Intelligence Agency who came to mourn...","http://www.nytimes.com/1982/11/01/us/for-kevin-a-way-of-life-and-death.html"
19821201,"ABORTION RESTRICTION CASES ARGUED BEFORE HIGH COURT","  The abortion issue returned to the Supreme Court today. For three hours, the Justices heard arguments on the constitutionality of various obstacles that state and local governments have placed in the path of women seeking abortions in the nearly 10...","http://www.nytimes.com/1982/12/01/us/abortion-restriction-cases-argued-before-high-court.html"
